url,doc_id,title,customer_role,category,language,document_version,license_or_permission
https://europa.eu/youreurope/citizens/consumers/shopping/guarantees/index_en.htm,eu-guarantees-returns,Guarantees and returns for goods bought in the EU,buyer,returns,en,2026-07-30,EU-public-page
https://europa.eu/youreurope/citizens/consumers/shopping/shopping-consumer-rights/index_en.htm,eu-shopping-rights,Consumer shopping rights in the EU,buyer,buyer-rights,en,2025-09-25,EU-public-page
https://europa.eu/youreurope/citizens/consumers/shopping/pricing-payments/index_en.htm,eu-pricing-payments,Pricing and payment rules for EU shoppers,buyer,pricing-payments,en,2025-06-16,EU-public-page
https://europa.eu/youreurope/business/selling-in-eu/consumer-contracts-guarantees/consumer-guarantees/index_en.htm,eu-seller-guarantees,Consumer guarantees and returns for EU sellers,seller,guarantees,en,2026-07-12,EU-public-page
https://europa.eu/youreurope/business/growing/digitalising/setting-up-online-shop/index_en.htm,eu-online-shop-rules,Payment and online-shop obligations for EU sellers,seller,online-shop,en,2026-07-13,EU-public-page
